代號,證券商名稱,地址
918M,群益金鼎-嘉義,嘉義市垂楊路87號1樓、89號2樓之2及3樓之1
918P,群益金鼎-天母,台北市中山北路7段18號3樓之1、之2
918W,群益金鼎-忠孝,台北市忠孝東路4段87號15樓
918X,群益金鼎-台北,台北市重慶北路1段30號4樓
918c,群益金鼎-鳳山,高雄市鳳山區中山西路203號2、3樓
918d,群益金鼎-內湖,台北市內湖區成功路4段50號6樓
918e,群益金鼎-大安,台北市忠孝東路4段87號7樓
918g,群益金鼎-大甲,台中市大甲區蔣公路295號2樓
918i,群益金鼎-竹南,苗栗縣竹南鎮民族街87號5樓及6樓
918s,群益金鼎-丹鳳,新北市新莊區富國路16號1樓、2樓及22巷6號1樓
918u,群益金鼎-瑞豐,高雄市苓雅區三多一路174號2樓
918x,群益金鼎-延平,台北市延平北路2段96號3樓
918z,群益金鼎-宜蘭,宜蘭縣宜蘭市中山路3段45號、47號2樓、3樓
9200,凱基,台北市明水路698號3樓
9202,凱基-中港,台中市中正路478號8樓
9204,凱基-台中,台中市民族路50號5樓
9205,凱基-三重,新北市三重區正義北路206號、208號3、4樓
9206,凱基-高雄,高雄市中正二路74號4樓(略)
9207,凱基-永和,新北市永和區中正路588號5樓
9208,凱基-桃園成功,桃園縣桃園市成功路1段32號14樓
9209,凱基-岡山,高雄市岡山區公園東路47號
920A,凱基-板橋,新北市板橋區四川路1段107號2樓
920C,凱基-雙和,新北市中和區中和路232號3樓
920D,凱基-市府,台北市忠孝東路4段563號7樓、7樓之1、565號7樓
920E,凱基-東門,台南市東區東門路2段160號2樓
920F,凱基-站前,台北市許昌街17號3樓及3樓之1
920G,凱基-卦山,彰化市中山路2段353號1、2樓
920H,凱基-基隆,基隆市仁一路259號3樓、4樓
920M,凱基-宜蘭,宜蘭市光復路48號2、3樓
920N,凱基-湖口,新竹縣湖口鄉達生路15號2樓
920V,凱基-新店,新北市新店區北新路3段106號1、2樓及106之1號
920W,凱基-大里,台中市大里區中興路2段127號2、4樓
920Z,凱基-台東,台東縣台東市中山路248號1、2、3樓
9211,凱基-台南,台南市林森路1段395號3樓
9212,凱基-東港,屏東縣東港鎮中山路2號1-3樓
9215,凱基-三民,高雄市九如二路366號3樓
9216,凱基-信義,台北市復興北路167號14樓之1、之2、之3
9217,凱基-松山,台北市八德路4段678號2樓之1及3樓
9218,凱基-大直,"台北市明水路591號,591之1號(略)"
921C,凱基-民權,台北市復興北路420號4樓
921E,凱基-三峽,新北市三峽區文化路59號3樓之1
921F,凱基-天母,台北市中山北路7段18號4樓之3
921G,凱基-五股,新北市五股區中興路4段40號1樓、2樓
921J,凱基-土城,新北市土城區金城路3段182號
921M,凱基-八德,桃園縣八德市介壽路2段137號3樓
921S,凱基-幸福,新北市新莊區中華路2段5號3樓
921Y,凱基-東勢,台中市東勢區豐勢路297號4樓
9223,凱基-豐中,台中市豐原區豐中路13號7樓
9225,凱基-內埔,屏東縣內埔鄉平昌街5號1樓
